datetime,date,price,sentiment,MA5,MA10,MA20,MA60,resist,support,price lag-1,price lag-2,price lag-3,price lag-4,price lag-5,price lag-6,price lag-7,price lag-8,price lag-9,price lag-10,sentiment_negative,sentiment_positive
1/4/2021 15:00,1/4/2021,1455,0,1477,1499.5,1482.75,1281.666667,1362,1098.333333,1430,1490,1505,1490,1470,1555,1480,1490,1555,1530,,
1/5/2021 15:00,1/5/2021,1425,0,1474,1492,1486,1287,1362,1163.75,1455,1430,1490,1505,1490,1470,1555,1480,1490,1555,,
1/6/2021 15:00,1/6/2021,1375,0,1461,1479,1487.75,1291.083333,1362,1163.75,1425,1455,1430,1490,1505,1490,1470,1555,1480,1490,,
1/7/2021 15:00,1/7/2021,1405,0,1435,1467.5,1487,1295,1406.25,1199,1375,1425,1455,1430,1490,1505,1490,1470,1555,1480,,
1/8/2021 15:00,1/8/2021,1445,0,1418,1460,1488.5,1299.666667,1406.25,1199,1405,1375,1425,1455,1430,1490,1505,1490,1470,1555,,
1/11/2021 15:00,1/11/2021,1525,0,1421,1449,1489,1305,1406.25,1199,1445,1405,1375,1425,1455,1430,1490,1505,1490,1470,,
1/12/2021 15:00,1/12/2021,1475,0,1435,1454.5,1491,1311.583333,1433,1199,1525,1445,1405,1375,1425,1455,1430,1490,1505,1490,,
1/13/2021 15:00,1/13/2021,1515,0,1445,1453,1487.5,1317.333333,1433,1199,1475,1525,1445,1405,1375,1425,1455,1430,1490,1505,,
1/14/2021 15:00,1/14/2021,1495,0,1473,1454,1486,1324,1450.833333,1199,1515,1475,1525,1445,1405,1375,1425,1455,1430,1490,,
1/15/2021 15:00,1/15/2021,1455,0,1491,1454.5,1484,1330.416667,1450.833333,1199,1495,1515,1475,1525,1445,1405,1375,1425,1455,1430,,
1/18/2021 15:00,1/18/2021,1440,0,1493,1457,1478.25,1335.5,1450.833333,1226.25,1455,1495,1515,1475,1525,1445,1405,1375,1425,1455,,
1/19/2021 15:00,1/19/2021,1415,0,1476,1455.5,1473.75,1339.75,1501,1226.25,1440,1455,1495,1515,1475,1525,1445,1405,1375,1425,,
1/20/2021 15:00,1/20/2021,1415,0,1464,1454.5,1466.75,1344.083333,1501,1226.25,1415,1440,1455,1495,1515,1475,1525,1445,1405,1375,,
1/21/2021 15:00,1/21/2021,1410,0,1444,1458.5,1463,1347.333333,1501,1226.25,1415,1415,1440,1455,1495,1515,1475,1525,1445,1405,,
1/22/2021 15:00,1/22/2021,1350,0,1427,1459,1459.5,1350.5,1566.25,1226.25,1410,1415,1415,1440,1455,1495,1515,1475,1525,1445,,
