Date,Price_sentiment_positive,Price_sentiment_negative,Type
3/14/2022 15:00,2790,2790,Actual
3/15/2022 15:00,2710,2710,Actual
3/16/2022 15:00,2820,2820,Actual
3/17/2022 15:00,2740,2740,Actual
3/18/2022 15:00,2720,2720,Actual
3/21/2022 15:00,2720,2720,Actual
3/22/2022 15:00,2800,2800,Actual
3/23/2022 15:00,2800,2800,Actual
3/24/2022 15:00,2880,2880,Actual
3/25/2022 15:00,2820,2820,Actual
3/28/2022 15:00,2860,2860,Actual
3/29/2022 15:00,2770,2770,Actual
3/30/2022 15:00,2680,2680,Actual
3/31/2022 15:00,2690,2690,Actual
4/1/2022 15:00,2810,2810,Actual
4/4/2022 15:00,2810,2810,Actual
4/5/2022 15:00,3000,3000,Actual
4/6/2022 15:00,3070,3070,Actual
4/7/2022 15:00,3050,3050,Actual
4/8/2022 15:00,3160,3160,Actual
4/11/2022 15:00,3140,3140,Actual
4/12/2022 15:00,3140,3140,Actual
4/13/2022 15:00,3350,3350,Actual
4/14/2022 15:00,3310,3310,Actual
4/18/2022 15:00,3290,3290,Actual
4/19/2022 15:00,3270,3270,Actual
4/20/2022 15:00,3230,3230,Actual
4/21/2022 15:00,3270,3270,Actual
4/22/2022 15:00,3210,3210,Actual
4/25/2022 15:00,3210,3210,Actual
4/26/2022 15:00,3160,3160,Actual
4/27/2022 15:00,3170,3170,Actual
4/28/2022 15:00,3340,3340,Actual
5/9/2022 15:00,3160,3160,Actual
5/10/2022 15:00,3090,3090,Actual
5/11/2022 15:00,3150,3150,Actual
5/12/2022 15:00,3150,3150,Actual
5/13/2022 15:00,3210,3210,Actual
5/17/2022 15:00,3220,3220,Actual
5/18/2022 15:00,3190,3190,Actual
5/19/2022 15:00,3110,3110,Actual
5/20/2022 15:00,3310,3310,Actual
5/23/2022 15:00,3150,3150,Actual
5/24/2022 15:00,3200,3200,Actual
5/25/2022 15:00,3100,3100,Actual
5/27/2022 15:00,3160,3160,Actual
5/30/2022 15:00,3060,3060,Actual
5/31/2022 15:00,3270,3270,Actual
6/2/2022 15:00,3330,3330,Actual
6/3/2022 15:00,3520,3520,Actual
6/6/2022 15:00,3460,3460,Actual
6/7/2022 15:00,3650,3650,Actual
6/8/2022 15:00,3630,3630,Actual
6/9/2022 15:00,3600,3600,Actual
6/10/2022 15:00,3430,3430,Actual
6/13/2022 15:00,3190,3190,Actual
6/14/2022 15:00,3260,3260,Actual
6/15/2022 15:00,3040,3040,Actual
6/16/2022 15:00,3060,3060,Actual
6/17/2022 15:00,2920,2920,Actual
6/18/2022 15:00,2978.544853,2971.636062,Forecast
6/19/2022 15:00,2986.006632,2972.978619,Forecast
6/20/2022 15:00,3033.691898,3013.718432,Forecast
6/21/2022 15:00,3053.227561,3026.650411,Forecast
