Datetime,Tweet Id,Text,Username,Sentiment_Polarity,Sentiment
2022-06-16 03:18:04+00:00,1.53727E+18,"#Lowongan KARYAWAN TETAP Perusahaan Tambang Batubara: PT. Adaro Energy Tbk, Update 16 Juni 2022 (Fresh Graduate/Berpengalaman). Syarat, Lokasi &amp; Cara Melamar Baca Di: https://t.co/j0Gu9A6Q0C https://t.co/Tb5pBNzJ9x",twitlowongan,0.3,positive
2022-06-15 10:10:15+00:00,1.53701E+18,アダロ・エナジー（ADRO）はインドネシアの石炭採掘・生産企業。 正式な企業名はPT Adaro Energy Tbk となる。 https://t.co/5zdtMLmBjy 2008年7月にインドネシア証券取引所（IDX）へ上場。,Indonesiastock,0,neutral
2022-06-14 11:58:39+00:00,1.53668E+18,"Lowongan kerja

#adaroenergy 
#adarocareer 
#legal 
#lowkertambang 
#duniatambang 
#pekerjatambang 
#linkedin @ Tambang Batu Bara https://t.co/vyokOVcnmZ",lowker_tambang,0.2,positive
2022-06-13 12:23:59+00:00,1.53632E+18,"Top Losers hari ini adalh Adaro Energy Tbk (ADRO), Sigma Energy Compressindo Tbk PT (SICO), Esta Multi Usaha PT (ESTA), Bank Artha Graha Internasional (INPC), dan Lima Dua Lima Tiga PT (LUCY)

#BahanaSekuritas",SekuritasBahana,0.15,positive
2022-06-13 10:27:31+00:00,1.53629E+18,"12:04  SIEMENS AG : JP Morgan da una recomendación de compra  
MD
12:02  KION : JP Morgan permanece neutral  
MD
12:01  SIEMENS LIMITED : El Nomura continua con su recomendación de compra  
MM
12:01  PT ADARO ENERGY INDONESIA TBK : Recibe una recomendación de compra del UBS  
MM",gamesitas15e,-0.071428571,negative
2022-06-13 07:17:55+00:00,1.53625E+18,"Juli 2020, BRI terlibat dalam berbagai pendanaan di sektor batu bara, yaitu: pembangunan PLTU Jawa 9 dan 10, dan pendanaan pada PT. Adaro Energy Tbk. Perbandingan antara pendanaan @BANKBRI_ID pada sektor batu bara dengan energi terbarukan masih sangat jauh. https://t.co/2AEVkiqkWC",bersihkan_indo,0,neutral
2022-06-12 05:50:15+00:00,1.53586E+18,"Garibaldi Thohir, M.B.A. adalah seorang pengusaha dan investor yang berasal dari Indonesia. Ia dikenal sebagai pengusaha tambang batu bara dengan grup di bawah bendera Adaro Energy.

Adaro Energy dikembangkan bersama Edwin Soeryadjaya dan Theodore Permadi Rachmat. 
Wikipedia https://t.co/ekPX0JRZGB",jose_asep,0,neutral
2022-06-10 07:47:39+00:00,1.53517E+18,"Kesempatan bagi Pencari Kerja, Adaro Energy Buka Lowongan untuk Lulusan D3 Hingga S1 https://t.co/PxfKsOBIS2 #loker #lowongankerja",bursakerja20,0,neutral
2022-06-10 07:47:37+00:00,1.53517E+18,Jangan Lewatkan Lowongan Kerja 2022 Terbaru Adaro Energy Buat Lulusan D3 Hingga S1 https://t.co/acCUmarZD3 #loker #lowongankerja,bursakerja20,0,neutral
2022-06-10 05:25:14+00:00,1.53513E+18,Jangan Lewatkan Lowongan Kerja 2022 Terbaru Adaro Energy Buat Lulusan D3 Hingga S1 - https://t.co/zaP6uvjxt0 https://t.co/vVKHRp0e5o,KabarLoker,0,neutral
