datetime,date,price,sentiment,MA5,MA10,MA20,MA60,resist,support,price lag-1,price lag-2,price lag-3,price lag-4,price lag-5,price lag-6,price lag-7,price lag-8,price lag-9,price lag-10
1/4/2021 15:00,1/4/2021,2790,0,2850,2955,2793.5,2301.5,2362,2191.666667,2810,2890,2850,2820,2880,3040,2980,3040,3170,3070
1/5/2021 15:00,1/5/2021,2770,0,2832,2927,2815,2315.166667,2362,2303.75,2790,2810,2890,2850,2820,2880,3040,2980,3040,3170
1/6/2021 15:00,1/6/2021,2680,0,2822,2887,2832,2328,2447.5,2303.75,2770,2790,2810,2890,2850,2820,2880,3040,2980,3040
1/7/2021 15:00,1/7/2021,2820,0,2788,2851,2843.5,2339.833333,2447.5,2303.75,2680,2770,2790,2810,2890,2850,2820,2880,3040,2980
1/8/2021 15:00,1/8/2021,2850,0,2774,2835,2862.5,2354.333333,2447.5,2367,2820,2680,2770,2790,2810,2890,2850,2820,2880,3040
1/11/2021 15:00,1/11/2021,2910,0,2782,2816,2881,2369,2558,2367,2850,2820,2680,2770,2790,2810,2890,2850,2820,2880
1/12/2021 15:00,1/12/2021,2860,0,2806,2819,2892.5,2384.75,2558,2367,2910,2850,2820,2680,2770,2790,2810,2890,2850,2820
1/13/2021 15:00,1/13/2021,3040,0,2824,2823,2894.5,2399.25,2558,2367,2860,2910,2850,2820,2680,2770,2790,2810,2890,2850
1/14/2021 15:00,1/14/2021,3000,0.2,2896,2842,2906.5,2416.833333,2558,2367,3040,2860,2910,2850,2820,2680,2770,2790,2810,2890
1/15/2021 15:00,1/15/2021,2940,0,2932,2853,2916,2433.166667,2648.333333,2367,3000,3040,2860,2910,2850,2820,2680,2770,2790,2810
1/18/2021 15:00,1/18/2021,2950,0.084469697,2950,2866,2910.5,2448.333333,2648.333333,2367,2940,3000,3040,2860,2910,2850,2820,2680,2770,2790
1/19/2021 15:00,1/19/2021,2850,0,2958,2882,2904.5,2463.333333,2701.428571,2367,2950,2940,3000,3040,2860,2910,2850,2820,2680,2770
1/20/2021 15:00,1/20/2021,2880,-0.5,2956,2890,2888.5,2477.333333,2701.428571,2367,2850,2950,2940,3000,3040,2860,2910,2850,2820,2680
1/21/2021 15:00,1/21/2021,2860,0,2924,2910,2880.5,2491.166667,2701.428571,2367,2880,2850,2950,2940,3000,3040,2860,2910,2850,2820
1/22/2021 15:00,1/22/2021,2770,0,2896,2914,2874.5,2504.666667,2805,2367,2860,2880,2850,2950,2940,3000,3040,2860,2910,2850
1/25/2021 15:00,1/25/2021,2700,0,2862,2906,2861,2517.333333,2805,2367,2770,2860,2880,2850,2950,2940,3000,3040,2860,2910
1/26/2021 15:00,1/26/2021,2760,0,2812,2885,2852,2529,2805,2367,2700,2770,2860,2880,2850,2950,2940,3000,3040,2860
